Cartridge (Wb + type),MV (fps),V @ 200 yds,ME (ft lb),E @ 200 yds,Bullet Weight (grains),Bullet Weight (grams),Bullet Type,MV (mps)
.458 Lott (500 RN),2300,1776.0,5872,3502.0,500.0,32.399455,RN,701.0400000000001
.450 Dakota (500 RN),2450,2030.0,6663,4576.0,500.0,32.399455,RN,746.76
.460 Wby. Mag. (500 RN),2600,2037.0,7504,4605.0,500.0,32.399455,RN,792.48
.465 H&H Mag. (480 RN),2375,1925.0,6013,3960.0,480.0,31.1034768,RN,723.9000000000001
.470 NE (500 RN),2150,1650.0,5130,3040.0,500.0,32.399455,RN,655.32
.50-90 Sharps (473 FP),1350,,1920,,473.0,30.64988443,FP,411.48
.500 NE (570 RN),2150,1722.0,5850,3752.0,570.0,36.9353787,RN,655.32
.50 BMG (750 SpBT),2750,2578.0,12592,11070.0,750.0,48.5991825,SpBT,838.2
.577 NE (750 RN),2050,1595.0,6998,4234.0,750.0,48.5991825,RN,624.84
.600 NE (900 RN),1950,1452.0,7596,4212.0,900.0,58.319019000000004,RN,594.36
.700 NE (1000 RN),1900,1461.0,8015,4740.0,1000.0,64.79891,RN,579.12
